season,date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,is_cup_final,visitor_margin,home_margin,visitor_win,home_win,grouped_date_id,unique_game_id,home_wl,visitor_wl,home_result,visitor_result
2025,2025-09-11,New York Liberty,91,Chicago Sky,86,0,5.0,-5.0,1,0,2502,6651,L,W,L 86-91 vs. New York Liberty,W 91-86 @ Chicago Sky
2025,2025-09-11,Las Vegas Aces,103,Los Angeles Sparks,75,0,28.0,-28.0,1,0,2502,6652,L,W,L 75-103 vs. Las Vegas Aces,W 103-75 @ Los Angeles Sparks
2025,2025-09-14,Indiana Fever,68,Atlanta Dream,80,0,-12.0,12.0,0,1,2503,6653,W,L,W 80-68 vs. Indiana Fever,L 68-80 @ Atlanta Dream
2025,2025-09-14,Golden State Valkyries,72,Minnesota Lynx,101,0,-29.0,29.0,0,1,2503,6654,W,L,W 101-72 vs. Golden State Valkyries,L 72-101 @ Minnesota Lynx
2025,2025-09-14,Seattle Storm,77,Las Vegas Aces,102,0,-25.0,25.0,0,1,2503,6655,W,L,W 102-77 vs. Seattle Storm,L 77-102 @ Las Vegas Aces
2025,2025-09-14,New York Liberty,76,Phoenix Mercury,69,0,7.0,-7.0,1,0,2503,6656,L,W,L 69-76 vs. New York Liberty,W 76-69 @ Phoenix Mercury
2025,2025-09-16,Las Vegas Aces,83,Seattle Storm,86,0,-3.0,3.0,0,1,2504,6657,W,L,W 86-83 vs. Las Vegas Aces,L 83-86 @ Seattle Storm
2025,2025-09-16,Atlanta Dream,60,Indiana Fever,77,0,-17.0,17.0,0,1,2504,6658,W,L,W 77-60 vs. Atlanta Dream,L 60-77 @ Indiana Fever
2025,2025-09-17,Phoenix Mercury,86,New York Liberty,60,0,26.0,-26.0,1,0,2505,6659,L,W,L 60-86 vs. Phoenix Mercury,W 86-60 @ New York Liberty
2025,2025-09-17,Minnesota Lynx,75,Golden State Valkyries,74,0,1.0,-1.0,1,0,2505,6660,L,W,L 74-75 vs. Minnesota Lynx,W 75-74 @ Golden State Valkyries
2025,2025-09-18,Seattle Storm,73,Las Vegas Aces,74,0,-1.0,1.0,0,1,2506,6661,W,L,W 74-73 vs. Seattle Storm,L 73-74 @ Las Vegas Aces
2025,2025-09-18,Indiana Fever,87,Atlanta Dream,85,0,2.0,-2.0,1,0,2506,6662,L,W,L 85-87 vs. Indiana Fever,W 87-85 @ Atlanta Dream
2025,2025-09-19,New York Liberty,73,Phoenix Mercury,79,0,-6.0,6.0,0,1,2507,6663,W,L,W 79-73 vs. New York Liberty,L 73-79 @ Phoenix Mercury
2025,2025-09-21,Phoenix Mercury,69,Minnesota Lynx,82,0,-13.0,13.0,0,1,2508,6664,W,L,W 82-69 vs. Phoenix Mercury,L 69-82 @ Minnesota Lynx
2025,2025-09-21,Indiana Fever,89,Las Vegas Aces,73,0,16.0,-16.0,1,0,2508,6665,L,W,L 73-89 vs. Indiana Fever,W 89-73 @ Las Vegas Aces
2025,2025-09-23,Phoenix Mercury,89,Minnesota Lynx,83,0,6.0,-6.0,1,0,2509,6666,L,W,L 83-89 vs. Phoenix Mercury,W 89-83 @ Minnesota Lynx
2025,2025-09-23,Indiana Fever,68,Las Vegas Aces,90,0,-22.0,22.0,0,1,2509,6667,W,L,W 90-68 vs. Indiana Fever,L 68-90 @ Las Vegas Aces
2025,2025-09-26,Las Vegas Aces,84,Indiana Fever,72,0,12.0,-12.0,1,0,2510,6668,L,W,L 72-84 vs. Las Vegas Aces,W 84-72 @ Indiana Fever
2025,2025-09-26,Minnesota Lynx,76,Phoenix Mercury,84,0,-8.0,8.0,0,1,2510,6669,W,L,W 84-76 vs. Minnesota Lynx,L 76-84 @ Phoenix Mercury
2025,2025-09-28,Minnesota Lynx,81,Phoenix Mercury,86,0,-5.0,5.0,0,1,2511,6670,W,L,W 86-81 vs. Minnesota Lynx,L 81-86 @ Phoenix Mercury
2025,2025-09-28,Las Vegas Aces,83,Indiana Fever,90,0,-7.0,7.0,0,1,2511,6671,W,L,W 90-83 vs. Las Vegas Aces,L 83-90 @ Indiana Fever
2025,2025-09-30,Indiana Fever,98,Las Vegas Aces,107,0,-9.0,9.0,0,1,2512,6672,W,L,W 107-98 vs. Indiana Fever,L 98-107 @ Las Vegas Aces
2025,2025-10-03,Phoenix Mercury,86,Las Vegas Aces,89,0,-3.0,3.0,0,1,2513,6673,W,L,W 89-86 vs. Phoenix Mercury,L 86-89 @ Las Vegas Aces
2025,2025-10-05,Phoenix Mercury,78,Las Vegas Aces,91,0,-13.0,13.0,0,1,2514,6674,W,L,W 91-78 vs. Phoenix Mercury,L 78-91 @ Las Vegas Aces
2025,2025-10-08,Las Vegas Aces,90,Phoenix Mercury,88,0,2.0,-2.0,1,0,2515,6675,L,W,L 88-90 vs. Las Vegas Aces,W 90-88 @ Phoenix Mercury
2025,2025-10-10,Las Vegas Aces,97,Phoenix Mercury,86,0,11.0,-11.0,1,0,2516,6676,L,W,L 86-97 vs. Las Vegas Aces,W 97-86 @ Phoenix Mercury
2026,2026-05-08,Washington Mystics,68,Toronto Tempo,65,0,3.0,-3.0,1,0,2517,6677,L,W,L 65-68 vs. Washington Mystics,W 68-65 @ Toronto Tempo
2026,2026-05-08,Golden State Valkyries,91,Seattle Storm,80,0,11.0,-11.0,1,0,2517,6678,L,W,L 80-91 vs. Golden State Valkyries,W 91-80 @ Seattle Storm
2026,2026-05-08,Connecticut Sun,75,New York Liberty,106,0,-31.0,31.0,0,1,2517,6679,W,L,W 106-75 vs. Connecticut Sun,L 75-106 @ New York Liberty
2026,2026-05-09,Dallas Wings,107,Indiana Fever,104,0,3.0,-3.0,1,0,2518,6680,L,W,L 104-107 vs. Dallas Wings,W 107-104 @ Indiana Fever
2026,2026-05-09,Atlanta Dream,91,Minnesota Lynx,90,0,1.0,-1.0,1,0,2518,6681,L,W,L 90-91 vs. Atlanta Dream,W 91-90 @ Minnesota Lynx
2026,2026-05-09,Phoenix Mercury,99,Las Vegas Aces,66,0,33.0,-33.0,1,0,2518,6682,L,W,L 66-99 vs. Phoenix Mercury,W 99-66 @ Las Vegas Aces
2026,2026-05-09,Chicago Sky,98,Portland Fire,83,0,15.0,-15.0,1,0,2518,6683,L,W,L 83-98 vs. Chicago Sky,W 98-83 @ Portland Fire
2026,2026-05-10,New York Liberty,98,Washington Mystics,93,0,5.0,-5.0,1,0,2519,6684,L,W,L 93-98 vs. New York Liberty,W 98-93 @ Washington Mystics
2026,2026-05-10,Seattle Storm,89,Connecticut Sun,82,0,7.0,-7.0,1,0,2519,6685,L,W,L 82-89 vs. Seattle Storm,W 89-82 @ Connecticut Sun
2026,2026-05-10,Las Vegas Aces,105,Los Angeles Sparks,78,0,27.0,-27.0,1,0,2519,6686,L,W,L 78-105 vs. Las Vegas Aces,W 105-78 @ Los Angeles Sparks
2026,2026-05-10,Phoenix Mercury,79,Golden State Valkyries,95,0,-16.0,16.0,0,1,2519,6687,W,L,W 95-79 vs. Phoenix Mercury,L 79-95 @ Golden State Valkyries
2026,2026-05-12,Atlanta Dream,77,Dallas Wings,72,0,5.0,-5.0,1,0,2520,6688,L,W,L 72-77 vs. Atlanta Dream,W 77-72 @ Dallas Wings
2026,2026-05-12,Minnesota Lynx,88,Phoenix Mercury,84,0,4.0,-4.0,1,0,2520,6689,L,W,L 84-88 vs. Minnesota Lynx,W 88-84 @ Phoenix Mercury
2026,2026-05-12,New York Liberty,96,Portland Fire,98,0,-2.0,2.0,0,1,2520,6690,W,L,W 98-96 vs. New York Liberty,L 96-98 @ Portland Fire
2026,2026-05-13,Seattle Storm,73,Toronto Tempo,86,0,-13.0,13.0,0,1,2521,6691,W,L,W 86-73 vs. Seattle Storm,L 73-86 @ Toronto Tempo
2026,2026-05-13,Indiana Fever,87,Los Angeles Sparks,78,0,9.0,-9.0,1,0,2521,6692,L,W,L 78-87 vs. Indiana Fever,W 87-78 @ Los Angeles Sparks
2026,2026-05-13,Las Vegas Aces,98,Connecticut Sun,69,0,29.0,-29.0,1,0,2521,6693,L,W,L 69-98 vs. Las Vegas Aces,W 98-69 @ Connecticut Sun
2026,2026-05-13,Chicago Sky,69,Golden State Valkyries,63,0,6.0,-6.0,1,0,2521,6694,L,W,L 63-69 vs. Chicago Sky,W 69-63 @ Golden State Valkyries
2026,2026-05-14,New York Liberty,100,Portland Fire,82,0,18.0,-18.0,1,0,2522,6695,L,W,L 82-100 vs. New York Liberty,W 100-82 @ Portland Fire
2026,2026-05-14,Minnesota Lynx,90,Dallas Wings,86,0,4.0,-4.0,1,0,2522,6696,L,W,L 86-90 vs. Minnesota Lynx,W 90-86 @ Dallas Wings
2026,2026-05-15,Las Vegas Aces,101,Connecticut Sun,94,0,7.0,-7.0,1,0,2523,6697,L,W,L 94-101 vs. Las Vegas Aces,W 101-94 @ Connecticut Sun
2026,2026-05-15,Washington Mystics,104,Indiana Fever,102,0,2.0,-2.0,1,0,2523,6698,L,W,L 102-104 vs. Washington Mystics,W 104-102 @ Indiana Fever
2026,2026-05-15,Toronto Tempo,95,Los Angeles Sparks,99,0,-4.0,4.0,0,1,2523,6699,W,L,W 99-95 vs. Toronto Tempo,L 95-99 @ Los Angeles Sparks
